epoch,train_loss,val_loss,val_auc_roc,val_f1
1,0.4795544929042154,0.2769338700633783,0.9517598667083202,0.9040404040404041
2,0.245903774031571,0.2618395620240615,0.9715453504113298,0.9095238095238095
3,0.22080327623656817,0.1917570547129099,0.9730552952202437,0.9435897435897436
4,0.1834315964001782,0.20949097923361337,0.9770774757888159,0.9571788413098237
5,0.17079940293820536,0.1818014497940357,0.9767520566489638,0.9462915601023018
6,0.17097879714351527,0.1746370608990009,0.9802145162969904,0.9378238341968912
7,0.16166404817177324,0.24538531021859783,0.9808653545766948,0.9061032863849765
8,0.1528166239434967,0.20499438767393047,0.9832864729771946,0.9408866995073891
9,0.18152510694095067,0.30369137893901027,0.9836249088826409,0.8976744186046511
10,0.16711920701271418,0.14807330247444603,0.9826096011663021,0.9540816326530612
11,0.14943386994454325,0.16450501224384284,0.9834687076955119,0.955
12,0.1420910446619501,0.14947769332390565,0.9831302717900656,0.9518987341772152
13,0.14867338180846099,0.16280014719814062,0.9844579818806622,0.9526184538653366
14,0.1552145386456835,0.1644929634550443,0.9813860252004581,0.9462915601023018
15,0.13356675376773489,0.17689111857460096,0.9826356346974904,0.9230769230769231
16,0.12759255807922812,0.174740019469307,0.9817765281682808,0.9319371727748691
17,0.12747267042571792,0.14395425884196392,0.9861241278767052,0.9462915601023018
18,0.11847316986900203,0.196463089919864,0.9875820056232427,0.9263657957244655
19,0.12686036225902486,0.25022254973793256,0.98441893158388,0.9044289044289044
20,0.1193447605307613,0.14733817944159874,0.9856034572529419,0.9514066496163683
21,0.10876937761750756,0.22940415950422624,0.9880245756534417,0.9263657957244655
22,0.10911562542754169,0.19949477137281343,0.984275747162345,0.9458128078817734
23,0.12969993712494568,0.2421110745232839,0.978314068520254,0.9206349206349206
24,0.13615934128816032,0.17260410391295758,0.9881287097781943,0.9463414634146341
25,0.08894003240619691,0.16104156738863543,0.9849005519108611,0.9387755102040817
26,0.10173663208071067,0.21647789910191653,0.9888316151202748,0.9307875894988067
27,0.10682950032000639,0.17413909346438372,0.9852910548786837,0.9312169312169312
28,0.09910730458796024,0.1399460732936859,0.9890529001353744,0.9573934837092731
29,0.10367507025022155,0.1344886810447161,0.9886493804019577,0.9538461538461539
30,0.08534209197387099,0.1433384591140426,0.9877382068103717,0.9545454545454546
31,0.07765639919255461,0.1551490903008156,0.9884801624492346,0.9558823529411765
32,0.09475655858024802,0.21188620170225755,0.9883499947932938,0.9466019417475728
33,0.10384805049101005,0.1412035531292741,0.989313235447256,0.9625935162094763
34,0.08439860961456992,0.13265000086707565,0.988701447464334,0.9547738693467337
35,0.06920659743553521,0.14134344469326046,0.9869962511715089,0.9547738693467337
36,0.08659728838140335,0.21973521667174423,0.9813730084348641,0.9514066496163683
37,0.0924658668773933,0.28696708294312256,0.9827007185254608,0.93717277486911
38,0.10561584972073229,0.20170086157248499,0.9843017806935331,0.9484029484029484
39,0.07083573129636292,0.1521012328672581,0.9888316151202748,0.9653465346534653
40,0.05870781059623981,0.17632131681490976,0.9849396022076435,0.9518987341772152
41,0.04614988993081188,0.1601962754681993,0.9873737373737373,0.9616368286445013
42,0.05480773050494834,0.1898979010315648,0.9858117255024472,0.9530864197530864
43,0.048882976573492797,0.20884441850312913,0.9840414453816515,0.9476309226932669
44,0.04582412080775129,0.16921240950110727,0.9866708320316567,0.9573934837092731
45,0.04605160431303226,0.2774745653945362,0.9846532333645737,0.9238095238095239
46,0.04687922117027112,0.19463491518175802,0.9854082057690305,0.9696969696969697
47,0.031163806338944205,0.22158695170834947,0.9852910548786837,0.9573934837092731
48,0.02671335672375233,0.21951973774747996,0.9861631781734875,0.9601990049751243
49,0.033306182768553426,0.2181826424695408,0.9847834010205144,0.9597989949748744
50,0.02874221653533192,0.2233518439461477,0.9852389878163075,0.964824120603015
51,0.028083921297143297,0.20904058258299932,0.9852520045819014,0.9644670050761421
52,0.01907033212387896,0.24926490723289765,0.9849135686764553,0.9620253164556962
53,0.02263562119526109,0.22894012281903997,0.9843928980526919,0.96
54,0.023612771152366638,0.25206807683347365,0.9844840154118504,0.9624060150375939
55,0.016463954594432926,0.26238738563552033,0.9848615016140788,0.9573934837092731
56,0.020697647062123146,0.2556134633766935,0.9846011663021973,0.9573934837092731
57,0.023219500520748886,0.2619335846606051,0.9856034572529419,0.9601990049751243
58,0.01667104195357937,0.25986320191945056,0.9846922836613557,0.964824120603015
59,0.013286615003900286,0.26632377641978494,0.9849786525044257,0.9624060150375939
60,0.010382838353006246,0.26934808044909286,0.9846271998333854,0.9624060150375939
61,0.014712533659673812,0.27013923488546143,0.9844449651150682,0.9625935162094763
62,0.015038448393318745,0.2721402825465283,0.9845100489430386,0.96
63,0.013619705823583324,0.26710517674487516,0.9859418931583881,0.9625935162094763
