epoch,train_loss,val_loss,val_auc_roc,val_f1
1,16.919412418287628,4.933549664443612,0.9606633343746745,0.7964071856287425
2,4.01832646329184,1.0263772137964575,0.9618608768093304,0.9090909090909091
3,0.9662476860138834,0.4105609921881786,0.9713370821618244,0.9295039164490861
4,0.3016094918153724,0.3534733420954301,0.9823752993856086,0.9340369393139841
5,0.2526495164754439,0.2696704492689325,0.9823232323232323,0.9016393442622951
6,0.22804685659250434,0.15238084644079208,0.986540664375716,0.9506493506493506
7,0.22219974866935185,0.14096714885762104,0.9887795480578986,0.9536082474226805
8,0.2177383657924983,0.15338390256063297,0.9887795480578987,0.9511568123393316
9,0.2090502031603638,0.1722072942289882,0.9882068103717587,0.9578163771712159
10,0.24171814200829486,0.15183822323496526,0.9889357492450276,0.9569620253164557
11,0.211124996806742,0.3118567614001222,0.986384463188587,0.9135135135135135
12,0.1781286487773973,0.14658036598792443,0.98989898989899,0.9674185463659147
13,0.21126033609010736,0.2107289228319692,0.9893783192752265,0.9536082474226805
14,0.206089597851114,0.14138171083938617,0.9896907216494846,0.9674185463659147
15,0.18621783984863027,0.1604179756787534,0.9896386545871082,0.9593908629441624
16,0.21296657743502637,0.15340424830523822,0.9876340726856191,0.9408866995073891
17,0.18266955751697628,0.18836549024742383,0.9899770904925544,0.9514066496163683
18,0.16722482074128123,0.13984518534002396,0.9905758617098823,0.965
19,0.18254067193792792,0.1474221096589015,0.9891700510257212,0.9622166246851386
20,0.16951104359967367,0.1444352283500708,0.9896646881182963,0.9571788413098237
21,0.19904363444265055,0.180292259901762,0.9894824533999792,0.9514066496163683
22,0.18477790024397628,0.164060093749028,0.9899770904925544,0.9567430025445293
23,0.1595739532661225,0.1602420537517621,0.9889097157138393,0.96
24,0.18703320289828948,0.18020238154209578,0.9853951890034364,0.9460154241645244
25,0.15062404366932353,0.15604718960821629,0.9883109444965115,0.964824120603015
26,0.17404433459575688,0.14451192032832366,0.9892221180880975,0.9620253164556962
27,0.15791308274492621,0.19428216974036053,0.9885712798083932,0.9567430025445293
28,0.13430477804219237,0.25497651673280275,0.9753983130271789,0.9432989690721649
29,0.1492884194915544,0.15478281375880426,0.9873607206081433,0.9593908629441624
30,0.13577592492635762,0.7588895940436766,0.9175257731958762,0.8743169398907104
31,0.13685826362319747,0.41221044964801806,0.9643731125689889,0.912
32,0.135412860447921,0.40033676389318246,0.9556518796209518,0.9210526315789473
33,0.13945226925330198,0.401356503367424,0.9606633343746747,0.9124668435013262
34,0.13056583786193204,0.6868496623176795,0.9323388524419453,0.8797814207650273
35,0.13055672469948018,0.25737057654903484,0.9736150161407894,0.9393939393939394
36,0.13432972125557005,0.6521781728817866,0.9296053316671873,0.889487870619946
37,0.11631234744753764,0.8043248803856281,0.9183588461938978,0.8705234159779615
38,0.13087556869437805,1.1554679005191877,0.8810788295324378,0.8453038674033149
39,0.12937501905847112,0.543280289723323,0.9461886910340518,0.9013333333333333
40,0.11634741411829481,0.675521940852587,0.9353066749973967,0.8834688346883469
41,0.1174366735005086,0.8148098790015166,0.926663542642924,0.8736263736263736
42,0.12205278736596205,0.5851511482435924,0.9397063417681975,0.8906666666666667
43,0.11396212875843048,0.5519412030967382,0.9461886910340519,0.9037433155080213
44,0.10876261106483182,0.550399415481549,0.9491565135895033,0.9066666666666666
45,0.11662461018493893,0.5843557235426627,0.9421274601686973,0.896
46,0.11121236773359837,0.5354773078400356,0.9531266270956993,0.9066666666666666
47,0.11652128458289164,0.6822914690352403,0.9379230448818078,0.8834688346883469
48,0.11884207293220168,0.66528035986882,0.9412162865771112,0.8888888888888888
