epoch,train_loss,val_loss,val_auc_roc,val_f1
1,0.3227169472648173,0.20904578612400934,0.9845360824742267,0.9336870026525199
2,0.16583654611390464,0.13104514598559874,0.9907841299593877,0.9616368286445013
3,0.15823546907275307,0.11390874749765946,0.9907320628970113,0.9639175257731959
4,0.11715331073014104,0.11349845914026865,0.9911485993960222,0.9536082474226805
5,0.09718200199458064,0.11048099688755778,0.9927626783296887,0.9696969696969697
6,0.08965579637003188,0.11806041045257679,0.9921899406435489,0.9672544080604534
7,0.07645208056902095,0.09976708092010365,0.9929969801103822,0.9669211195928753
8,0.059347450305536696,0.1058128632318515,0.9921639071123607,0.9641025641025641
9,0.05853511092291042,0.14460497512929857,0.9896126210559201,0.95
10,0.04452081259615643,0.12930861298138133,0.9921118400499844,0.9585492227979274
11,0.04166745564577227,0.1218645370995196,0.9914089347079037,0.9644670050761421
12,0.05269224968102133,0.15561611757640584,0.9864365302509632,0.9644670050761421
13,0.027550629860417425,0.14024185240179157,0.9909923982088932,0.955
14,0.01889234402321507,0.12630199627332891,0.9919816723940434,0.9695431472081218
15,0.025236854728843485,0.1316954264699374,0.9908101634905759,0.9670886075949368
16,0.018531500433134486,0.13379400479607284,0.9913048005831511,0.9670886075949368
17,0.02038811643611478,0.13228114838532817,0.9914610017702801,0.9695431472081218
18,0.017839531980844557,0.1241775559565912,0.9929188795168177,0.9720101781170484
19,0.018845558373794452,0.14643349801637948,0.9904977611163177,0.9696969696969697
20,0.0149637812793692,0.1298160007169757,0.9923982088930543,0.9695431472081218
21,0.01144004026214041,0.1301818123051467,0.9920077059252316,0.9720101781170484
22,0.017920166586658785,0.12979081788888344,0.9925804436113714,0.9695431472081218
23,0.01432605709391171,0.13376677561721478,0.9919556388628554,0.9720101781170484
24,0.01976129007484165,0.13120079216717456,0.9919296053316672,0.9720101781170484
25,0.01708990914719797,0.13626984151778743,0.9917213370821618,0.9695431472081218
26,0.009832835918095209,0.1389499456854537,0.9912527335207748,0.9695431472081218
27,0.011216613689166665,0.1329715331465615,0.9923201082994897,0.9695431472081218
28,0.006891346617948682,0.13740536509654844,0.99174737061335,0.9695431472081218
29,0.013237335441196908,0.1311320852546487,0.9925544100801833,0.9720101781170484
30,0.007230755112761137,0.13309522754682873,0.9924502759554306,0.9695431472081218
31,0.012222699464324919,0.12933634641320588,0.9928928459856294,0.9720101781170484
32,0.007796832253415213,0.13523342813165912,0.9924763094866188,0.9720101781170484
33,0.008775126887485385,0.1361100877105715,0.9923461418306779,0.9720101781170484
34,0.010060404947654781,0.13578188676183345,0.9920597729876081,0.9720101781170484
35,0.010636537505238916,0.1356463224566631,0.9922680412371134,0.9720101781170484
36,0.010230057908469165,0.13677846354683146,0.9921378735811727,0.9720101781170484
37,0.00957986125865077,0.13429270808522303,0.9923982088930542,0.9720101781170484
