epoch,train_loss,val_loss,val_auc_roc,val_f1
1,16.388565837120524,3.4538487685851837,0.963162553368739,0.3836734693877551
2,2.8401033045838076,0.7650549639114465,0.9794855774237218,0.8676056338028169
3,0.7438915650151214,0.20196369460721214,0.9862803290638341,0.9516539440203562
4,0.3564299506762502,0.13808504341600034,0.9885973133395815,0.9616368286445013
5,0.2575789131984419,0.14745670800598767,0.9854993231281891,0.9565217391304348
6,0.2733563419659527,0.26769510357497406,0.9844840154118505,0.8956043956043956
7,0.22590794083567298,0.12484282380543076,0.989925023430178,0.9646464646464646
8,0.1880602776548084,0.14906947472347662,0.9877121732791835,0.9312169312169312
9,0.23126027375763777,0.14436908567754123,0.9869572008747266,0.9447236180904522
10,0.18577742021606894,0.1579664724234205,0.9864885973133396,0.9315789473684211
11,0.1523536261057063,0.1276619488534589,0.9884671456836405,0.9438775510204082
12,0.1462447626554236,0.134089127720262,0.9864104967197751,0.9460154241645244
13,0.14861992693373136,0.14701681652177984,0.9868009996875976,0.9408740359897172
14,0.1448889893992823,0.12865641809856662,0.9893522857440383,0.9462915601023018
15,0.1333837256937915,0.15572264703671232,0.9874258044361136,0.9462915601023018
16,0.1299941628145016,0.13528356317860576,0.9866187649692804,0.9465648854961832
17,0.11996959133206733,0.1459670815652666,0.9875820056232428,0.9378238341968912
18,0.13578062705049404,0.21909829586645804,0.9858117255024471,0.9287598944591029
19,0.128719888133358,0.15821414090728816,0.9879464750598772,0.9430051813471503
20,0.11461560029895235,0.15581530213015726,0.9882588774341352,0.9484536082474226
21,0.11750448026280964,0.15775028788126433,0.9884671456836405,0.9457364341085271
22,0.12326907792261668,0.20013916402688034,0.9879204415286889,0.9291338582677166
23,0.11101765443608926,0.1872393066654555,0.9879725085910653,0.9347258485639687
24,0.11501607832460835,0.23154183618764643,0.9879985421222535,0.9234828496042217
25,0.13982701097016356,0.17971778320273957,0.9878423409351245,0.9457364341085271
26,0.11582983830915194,0.17971911744322056,0.9883109444965115,0.9405684754521964
27,0.11120031436677186,0.1850415274306075,0.9884671456836406,0.9430051813471503
28,0.11431957990743638,0.1806346650096552,0.9886493804019578,0.9402597402597402
29,0.10048852527124465,0.1862635310535552,0.9885973133395813,0.9322916666666666
30,0.11626817063043578,0.22169149236175983,0.9884150786212642,0.9287598944591029
31,0.09858271992784373,0.17779986293037206,0.9879464750598772,0.9347258485639687
32,0.10162067627154138,0.17946121478318952,0.9882068103717588,0.9430051813471503
33,0.09505339817866226,0.17928320893910354,0.9881547433093826,0.9457364341085271
34,0.10067515489075105,0.19766477195774385,0.9882588774341351,0.9375
35,0.09474232170863875,0.20429362922396438,0.9879985421222535,0.9287598944591029
36,0.10315311253688546,0.18797449215736167,0.9881807768405706,0.9402597402597402
37,0.10100693084128505,0.16979473858149363,0.988232843902947,0.9511568123393316
