epoch,train_loss,val_loss,val_auc_roc,val_f1
1,21.462282608966436,2.6398858545489143,0.9753983130271789,0.5
2,3.5592199004426295,0.740743067225804,0.9845621160054149,0.8950276243093923
3,0.9319182157692291,0.3065702367694729,0.9867749661564095,0.9455445544554455
4,0.443933462115879,0.25215128171615875,0.9796678121420389,0.9108433734939759
5,0.27699833032580057,0.2638933699658642,0.9871394355930437,0.9536082474226805
6,0.2502239191030361,0.3826518741457571,0.9845360824742269,0.9329758713136729
7,0.2190074506310784,0.1491214959667279,0.9890138498385921,0.9571788413098237
8,0.19454729150296474,0.15493436343967915,0.9872696032489847,0.9509043927648578
9,0.15728952898168747,0.1797582593997224,0.9873477038425492,0.9593908629441624
10,0.16578036964851983,0.2362242768957423,0.9848224513172966,0.9479166666666666
11,0.1308102820268167,0.3400521072236678,0.9843798812870977,0.9247311827956989
12,0.1668677066348265,0.14912866847589612,0.9894303863376028,0.9567430025445293
13,0.13291831569251966,0.21404975189719921,0.9875820056232427,0.9536082474226805
14,0.13624725371067012,0.2154806083910024,0.9857596584400707,0.9543147208121827
15,0.12465342504093518,0.2592166298619794,0.9868530667499739,0.9484536082474226
16,0.10853091407833355,0.26328110964655377,0.9863584296573987,0.9565217391304348
17,0.1377081921726836,0.2204773869307246,0.9902374258044361,0.9526184538653366
18,0.15172535612851343,0.270323468478007,0.9885192127460168,0.9405684754521964
19,0.12590059563897701,0.35346186260623935,0.9883369780276996,0.9591836734693877
20,0.11017039314634641,0.2682784429545371,0.9877642403415599,0.9591836734693877
21,0.12045737698711918,0.3323186566065907,0.9891049671977507,0.9591836734693877
22,0.09342397978631495,0.45132295792553545,0.9851348536915547,0.9536082474226805
23,0.13720684335567057,0.3226030010352343,0.9873607206081432,0.9565217391304348
24,0.079671066396704,0.4068546543451073,0.9867228990940331,0.9562982005141388
25,0.07989585125205292,0.38711576090374294,0.987608039154431,0.9567430025445293
26,0.10112177266993819,0.45981837142482196,0.9868009996875976,0.9536082474226805
27,0.07113127096320623,0.5011547438927944,0.9866187649692805,0.9399477806788512
28,0.0895866587829636,0.4072115013225007,0.9893262522128502,0.9481865284974094
29,0.0831162807139941,0.35720162987043014,0.9884150786212641,0.9509043927648578
30,0.06870731644419126,0.41759011080114306,0.9894303863376028,0.9538461538461539
31,0.07828905432523577,0.4507662472063535,0.9887665312923044,0.9511568123393316
32,0.07259542862529812,0.4553396967303758,0.9881807768405706,0.9562982005141388
33,0.0656999115744653,0.4646890054725995,0.98868843069874,0.9509043927648578
34,0.08701856181839818,0.45864727341184053,0.9879464750598771,0.9454545454545454
35,0.06671148838723193,0.4913150079245926,0.9881937936061647,0.9484536082474226
36,0.08482931336625277,0.44821867179870023,0.988844631885869,0.9538461538461539
37,0.0521057355134853,0.46076148472848477,0.9891179839633447,0.9538461538461539
38,0.04091059352859535,0.5110085143094414,0.9880896594814121,0.9481865284974094
39,0.04926158173749423,0.5139513549684781,0.9870743517650733,0.9538461538461539
40,0.050300538324261984,0.5227334882858415,0.9879464750598771,0.9454545454545454
41,0.054055664410597906,0.49554662680154354,0.9885061959804228,0.9484536082474226
42,0.051993756173079435,0.508836673654995,0.9884150786212642,0.9536082474226805
43,0.0671667731928305,0.49486447948738016,0.9884411121524523,0.9511568123393316
44,0.05265401185080027,0.5197075570110358,0.9883369780276997,0.9536082474226805
45,0.05394106841283376,0.5117343066636233,0.9886233468707696,0.9511568123393316
46,0.05376833026481591,0.5136353550130934,0.9883239612621055,0.9511568123393316
47,0.0644979857184455,0.4997624099147384,0.9888966989482453,0.9511568123393316
